artifact_id,description
"fig_106,""Iron leaf-shaped sword, length 19½ inches, similar in form to those frequently represented in the hands of warriors on the plaques. It is rudely forged. The wooden handle is inlaid with copper."""
"fig_167,""Ivory carved tusk, 3 feet 6 inches long from bottom to point. Band at bottom with reticulated or square-shaped ornament probably derived from interlacing bands. Ornamentation includes a coiled serpent, leopard's head and human head, human figures, elephant's head with proboscis terminating in a human hand, bird on pedestal, and sword-bearing figure."""
"fig_169,""Ivory ring, carved, with 3 birds."""
"fig_228,""Armlet of coral beads."""
"fig_281,""Large quadrangular bell."""
"fig_380,""Iron weapon of an old make. The blade is decorated with an incised figure of a snake."""
"fig_382,""Cubical metal lamp, with handle, chain and hook for suspension. Human face in relief on the sides, fish-scale groundwork, raised rope-pattern borders, four legs, and circular bottom with incised concentric circles."""
